country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Netherlands,2014,male,35-54 years,563,2410644,Netherlands2014,0.922,"879,635,084,125",55325,Generation X
Hungary,1991,female,5-14 years,2,697494,Hungary1991,,"34,748,508,332",3561,Millenials
Ukraine,2005,female,35-54 years,515,7160448,Ukraine2005,0.713,"86,142,018,069",1917,Boomers
Panama,2001,male,25-34 years,40,260141,Panama2001,,"12,502,013,400",4558,Generation X
Chile,2013,female,75+ years,14,442189,Chile2013,0.83,"278,384,332,694",17140,Silent
Iceland,2004,male,55-74 years,4,22162,Iceland2004,,"13,722,824,251",50528,Silent
Bulgaria,1988,female,75+ years,102,241000,Bulgaria1988,,"22,555,941,176",2688,G.I. Generation
South Africa,2002,female,75+ years,1,396984,South Africa2002,,"115,748,110,113",2769,Silent
Greece,2007,female,25-34 years,12,816668,Greece2007,,"318,497,936,901",29896,Generation X
Georgia,2013,male,25-34 years,20,348000,Georgia2013,0.75,"16,140,047,012",3850,Millenials
Bahamas,2004,female,75+ years,0,4327,Bahamas2004,,"9,055,290,000",30671,Silent
Kuwait,1985,male,25-34 years,5,228000,Kuwait1985,0.732,"21,442,619,681",14607,Boomers
Ukraine,1989,female,15-24 years,180,3422300,Ukraine1989,,"82,709,161,099",1732,Generation X
Denmark,1997,male,15-24 years,45,337600,Denmark1997,,"173,537,588,008",35148,Generation X
Bulgaria,2004,male,5-14 years,5,387953,Bulgaria2004,,"25,957,970,922",3485,Millenials
Brazil,2002,female,75+ years,62,1988353,Brazil2002,,"507,962,487,700",3121,Silent
Poland,2004,male,55-74 years,1143,2949757,Poland2004,,"255,102,252,843",7014,Silent
Romania,1991,male,15-24 years,152,2028200,Romania1991,,"28,998,684,211",1351,Generation X
Kuwait,2011,male,25-34 years,9,614348,Kuwait2011,0.812,"154,027,536,232",46203,Millenials
Denmark,2012,female,25-34 years,11,322504,Denmark2012,0.921,"327,148,899,962",62071,Millenials
Croatia,2002,male,75+ years,84,77800,Croatia2002,,"26,878,499,206",6373,Silent
Panama,2014,female,25-34 years,4,297642,Panama2014,0.78,"49,921,464,400",14181,Millenials
Finland,1992,female,5-14 years,1,315600,Finland1992,,"112,625,431,378",23857,Millenials
Uruguay,2015,female,25-34 years,23,232133,Uruguay2015,,"53,274,304,222",16696,Millenials
Poland,2002,female,15-24 years,84,3157831,Poland2002,,"198,680,637,255",5466,Millenials
Thailand,2002,male,25-34 years,1063,5791577,Thailand2002,,"134,300,851,255",2305,Generation X
Russian Federation,1994,female,75+ years,1454,4526500,Russian Federation1994,,"395,077,301,248",2853,G.I. Generation
Grenada,2009,male,35-54 years,0,10585,Grenada2009,,"771,278,111",8140,Boomers
Latvia,2007,female,75+ years,27,116189,Latvia2007,,"30,901,399,261",14758,Silent
Italy,1999,female,55-74 years,366,6744737,Italy1999,,"1,248,563,179,203",23002,Silent
Denmark,2012,female,55-74 years,71,651381,Denmark2012,0.921,"327,148,899,962",62071,Boomers
Malta,2003,female,35-54 years,1,56431,Malta2003,,"5,456,583,589",14444,Boomers
Greece,1999,female,55-74 years,28,1238252,Greece1999,,"142,540,728,958",13756,Silent
Cuba,2010,female,25-34 years,17,688810,Cuba2010,0.778,"64,328,000,000",5997,Generation X
Grenada,2009,male,5-14 years,0,9952,Grenada2009,,"771,278,111",8140,Generation Z
Guyana,2003,female,35-54 years,12,84488,Guyana2003,,"741,929,343",1116,Boomers
Aruba,2008,female,75+ years,0,2007,Aruba2008,,"2,791,960,894",29447,Silent
Sweden,2008,female,25-34 years,42,561352,Sweden2008,,"513,965,650,650",59155,Generation X
Antigua and Barbuda,2013,female,5-14 years,0,8353,Antigua and Barbuda2013,0.781,"1,192,925,407",13287,Generation Z
Paraguay,1999,female,5-14 years,2,643639,Paraguay1999,,"8,392,549,702",1868,Millenials
Mexico,1996,female,55-74 years,33,3868948,Mexico1996,,"410,975,595,310",4904,Silent
Barbados,2006,male,55-74 years,1,19527,Barbados2006,,"4,246,600,000",16531,Silent
Belarus,1998,male,35-54 years,1320,1360700,Belarus1998,,"15,222,012,660",1570,Boomers
Germany,2008,male,25-34 years,632,4906502,Germany2008,,"3,752,365,607,148",47702,Generation X
France,1991,female,25-34 years,366,4320400,France1991,,"1,269,276,828,276",23821,Boomers
New Zealand,1985,female,35-54 years,22,364600,New Zealand1985,0.805,"24,950,895,141",8246,Silent
Ecuador,1997,female,55-74 years,6,479370,Ecuador1997,,"28,162,053,027",2701,Silent
Aruba,2002,female,5-14 years,0,7374,Aruba2002,,"1,941,094,972",21987,Millenials
Guyana,1990,female,35-54 years,4,63070,Guyana1990,0.542,"396,582,263",607,Silent
Denmark,1996,female,25-34 years,20,395400,Denmark1996,,"187,632,400,366",38158,Generation X
Suriname,2001,male,5-14 years,2,51208,Suriname2001,,"763,465,550",1798,Millenials
Kyrgyzstan,2008,female,15-24 years,18,554497,Kyrgyzstan2008,,"5,139,957,785",1096,Millenials
Guyana,2004,male,25-34 years,42,56522,Guyana2004,,"785,918,770",1180,Generation X
Georgia,2009,male,15-24 years,20,360500,Georgia2009,,"10,766,809,099",2589,Millenials
Canada,1998,male,35-54 years,1226,4637556,Canada1998,,"631,813,279,407",22268,Boomers
Qatar,2009,female,15-24 years,2,67911,Qatar2009,,"97,798,351,648",64911,Millenials
Chile,1985,female,5-14 years,1,1203800,Chile1985,0.654,"17,702,885,394",1658,Generation X
Paraguay,1995,female,15-24 years,16,443966,Paraguay1995,0.604,"9,062,131,308",2223,Generation X
United States,2002,male,25-34 years,4135,20202776,United States2002,,"10,977,514,000,000",40845,Generation X
Puerto Rico,2003,male,35-54 years,102,450073,Puerto Rico2003,,"74,827,400,000",21264,Boomers
Singapore,2012,female,15-24 years,17,258600,Singapore2012,0.905,"290,673,681,684",80040,Millenials
South Africa,2002,female,55-74 years,4,2102686,South Africa2002,,"115,748,110,113",2769,Silent
Thailand,2013,male,35-54 years,1313,10032499,Thailand2013,0.724,"420,333,333,333",6917,Generation X
Austria,1990,male,5-14 years,1,461126,Austria1990,0.794,"166,463,386,663",23020,Generation X
Republic of Korea,2001,female,15-24 years,228,3688341,Republic of Korea2001,,"533,052,076,314",11922,Millenials
United States,2007,female,55-74 years,1684,27395858,United States2007,,"14,477,635,000,000",51585,Silent
Greece,2008,female,25-34 years,8,809164,Greece2008,,"354,460,802,549",33168,Generation X
Bahrain,2004,female,75+ years,0,3126,Bahrain2004,,"13,150,166,755",17497,Silent
Australia,1994,female,25-34 years,88,1411500,Australia1994,,"322,201,314,424",19469,Boomers
Czech Republic,2003,male,5-14 years,6,573339,Czech Republic2003,,"99,627,140,274",10220,Millenials
Estonia,2001,female,25-34 years,8,95505,Estonia2001,,"6,245,069,734",4711,Generation X
Suriname,1997,female,5-14 years,2,48099,Suriname1997,,"929,607,500",2314,Millenials
Romania,1991,male,25-34 years,229,1523400,Romania1991,,"28,998,684,211",1351,Boomers
Georgia,1992,male,15-24 years,18,422250,Georgia1992,,"3,690,328,964",740,Generation X
Saint Vincent and Grenadines,2000,male,15-24 years,2,11006,Saint Vincent and Grenadines2000,0.674,"396,270,000",4087,Generation X
Russian Federation,1998,male,55-74 years,9683,11058100,Russian Federation1998,,"270,953,116,950",1948,Silent
Estonia,2012,male,15-24 years,14,83194,Estonia2012,0.855,"23,043,864,510",18411,Millenials
Belgium,2012,female,75+ years,61,600081,Belgium2012,0.889,"497,884,216,569",47678,Silent
Japan,1993,male,75+ years,1258,2430000,Japan1993,,"4,454,143,876,947",37832,G.I. Generation
New Zealand,1988,female,35-54 years,14,387600,New Zealand1988,,"45,493,075,684",14890,Silent
Bulgaria,1994,male,35-54 years,329,1125000,Bulgaria1994,,"9,697,416,974",1213,Boomers
Turkmenistan,2014,female,55-74 years,3,264297,Turkmenistan2014,0.688,"43,524,210,526",9046,Boomers
Hungary,1996,male,5-14 years,2,647562,Hungary1996,,"46,659,796,773",4792,Millenials
Turkmenistan,2001,female,75+ years,0,42291,Turkmenistan2001,,"3,534,803,922",863,Silent
El Salvador,2007,female,55-74 years,8,347632,El Salvador2007,,"17,011,750,900",3111,Silent
Japan,1987,female,75+ years,1718,3230000,Japan1987,,"2,532,808,573,157",22137,G.I. Generation
France,1988,female,75+ years,652,2579800,France1988,,"1,018,847,043,277",19534,G.I. Generation
Ireland,1988,female,55-74 years,18,271500,Ireland1988,,"37,818,134,253",11696,G.I. Generation
Iceland,1989,female,55-74 years,4,18500,Iceland1989,,"5,588,533,007",24089,G.I. Generation
Singapore,2010,female,75+ years,12,80900,Singapore2010,0.897,"236,421,782,178",66099,Silent
France,1985,male,5-14 years,29,3837000,France1985,0.741,"553,138,414,367",10765,Generation X
Australia,2011,male,5-14 years,7,1423748,Australia2011,0.93,"1,394,280,784,778",66770,Generation Z
Thailand,2012,female,5-14 years,14,4056666,Thailand2012,0.724,"397,558,094,270",6584,Generation Z
Antigua and Barbuda,2013,male,5-14 years,0,8405,Antigua and Barbuda2013,0.781,"1,192,925,407",13287,Generation Z
Luxembourg,1989,male,25-34 years,9,32500,Luxembourg1989,,"10,391,504,709",29239,Boomers
Puerto Rico,2002,male,55-74 years,47,278010,Puerto Rico2002,,"71,623,500,000",20325,Silent
Belarus,2003,male,35-54 years,1304,1427642,Belarus2003,,"17,827,791,321",1892,Boomers
Hungary,2001,female,25-34 years,38,742972,Hungary2001,,"53,821,315,066",5546,Generation X
France,2007,female,75+ years,461,3367365,France2007,,"2,657,213,249,384",45682,Silent
Georgia,2009,male,35-54 years,48,579150,Georgia2009,,"10,766,809,099",2589,Boomers
El Salvador,2011,female,75+ years,3,100865,El Salvador2011,0.658,"20,283,783,700",3631,Silent
Qatar,2009,male,25-34 years,16,399923,Qatar2009,,"97,798,351,648",64911,Generation X
Germany,1990,female,15-24 years,228,5288600,Germany1990,0.801,"1,764,967,948,917",23546,Generation X
Singapore,1985,male,35-54 years,49,292500,Singapore1985,,"19,138,296,376",8142,Silent
Ukraine,1991,male,5-14 years,64,3793000,Ukraine1991,,"77,464,561,150",1607,Millenials
Albania,1993,male,5-14 years,1,367000,Albania1993,,"1,228,071,038",437,Millenials
Lithuania,2004,male,55-74 years,271,272871,Lithuania2004,,"22,649,930,576",7028,Silent
Belarus,1991,male,75+ years,71,114800,Belarus1991,,"18,000,000,000",1899,G.I. Generation
Seychelles,2005,female,5-14 years,1,6977,Seychelles2005,0.736,"919,103,255",11361,Millenials
Norway,1999,female,75+ years,13,219316,Norway1999,,"162,286,003,693",39013,G.I. Generation
Bahamas,2003,female,75+ years,0,4092,Bahamas2003,,"8,870,090,000",30704,Silent
Germany,1999,male,5-14 years,26,4615600,Germany1999,,"2,199,957,383,337",28154,Millenials
Netherlands,2006,male,15-24 years,91,996333,Netherlands2006,,"726,649,102,998",47281,Millenials
Uzbekistan,2009,male,55-74 years,81,985960,Uzbekistan2009,,"33,689,223,673",1332,Silent
Romania,1996,male,35-54 years,1059,2874300,Romania1996,,"37,182,938,696",1738,Boomers
Russian Federation,2014,male,55-74 years,4501,11808589,Russian Federation2014,,"2,063,662,665,172",15319,Boomers
Iceland,1992,male,55-74 years,4,17900,Iceland1992,,"6,976,080,331",29311,Silent
Malta,2012,female,35-54 years,4,54944,Malta2012,0.83,"9,209,559,296",23074,Generation X
Greece,1997,female,15-24 years,6,761478,Greece1997,,"143,157,600,025",13968,Generation X
Japan,2000,male,35-54 years,8023,17540437,Japan2000,0.857,"4,887,519,660,745",40813,Boomers
Singapore,1994,male,25-34 years,35,291200,Singapore1994,,"73,777,792,327",27202,Boomers
Colombia,2014,male,5-14 years,37,4100740,Colombia2014,0.72,"378,195,716,714",8591,Generation Z
Serbia,2015,male,15-24 years,27,400082,Serbia2015,,"37,160,332,465",5492,Millenials
United Kingdom,1985,female,35-54 years,505,6879295,United Kingdom1985,0.753,"489,285,164,271",9231,Silent
Spain,1994,male,15-24 years,253,3334000,Spain1994,,"529,121,577,320",14223,Generation X
Uzbekistan,2003,male,15-24 years,235,2762675,Uzbekistan2003,,"10,128,112,401",441,Millenials
Austria,2008,female,5-14 years,2,425776,Austria2008,,"430,294,287,388",54294,Generation Z
Ireland,1990,female,55-74 years,20,269100,Ireland1990,0.77,"49,364,681,256",15312,G.I. Generation
United States,1995,male,5-14 years,260,19528500,United States1995,0.876,"7,664,060,000,000",31518,Millenials
Colombia,2000,female,25-34 years,96,3400584,Colombia2000,0.654,"99,886,577,331",2755,Generation X
Ukraine,2003,female,35-54 years,669,7305670,Ukraine2003,,"50,132,953,288",1097,Boomers
Jamaica,2009,female,15-24 years,1,257363,Jamaica2009,,"12,038,829,246",4686,Millenials
Mexico,2011,male,35-54 years,1326,13558864,Mexico2011,0.748,"1,180,489,563,964",10965,Generation X
Belgium,1991,male,55-74 years,310,925900,Belgium1991,,"211,637,816,539",22523,Silent
Slovenia,1997,female,35-54 years,54,285000,Slovenia1997,,"20,749,140,606",11014,Boomers
Suriname,2006,female,5-14 years,1,49822,Suriname2006,,"2,626,380,435",5794,Millenials
Mauritius,1992,male,15-24 years,17,96800,Mauritius1992,,"3,224,267,548",3400,Generation X
Saint Vincent and Grenadines,2002,female,15-24 years,0,10586,Saint Vincent and Grenadines2002,,"461,883,444",4723,Millenials
Republic of Korea,1987,male,55-74 years,380,1607800,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
Mauritius,1998,female,15-24 years,15,103000,Mauritius1998,,"4,169,664,285",4063,Generation X
Uzbekistan,1998,female,15-24 years,152,2298600,Uzbekistan1998,,"14,988,971,211",719,Generation X
Netherlands,1992,male,75+ years,106,285300,Netherlands1992,,"358,330,385,840",25205,G.I. Generation
Belgium,2013,male,15-24 years,91,679018,Belgium2013,0.888,"520,925,468,953",49489,Millenials
Spain,2007,female,55-74 years,248,4502070,Spain2007,,"1,479,341,637,011",34769,Silent
France,2005,male,5-14 years,21,3789200,France2005,0.867,"2,196,126,103,718",38420,Millenials
Puerto Rico,1990,male,35-54 years,115,359000,Puerto Rico1990,,"30,603,919,000",9552,Silent
Ukraine,2004,male,15-24 years,944,3810633,Ukraine2004,,"64,883,060,726",1432,Millenials
Grenada,2016,male,55-74 years,0,5721,Grenada2016,,"1,056,188,593",10838,Boomers
Bahrain,2012,female,75+ years,0,4548,Bahrain2012,0.819,"30,749,308,511",25587,Silent
Armenia,2013,female,15-24 years,1,242386,Armenia2013,0.731,"11,121,465,767",3957,Millenials
Saint Lucia,1993,male,75+ years,0,1930,Saint Lucia1993,,"574,870,405",4568,G.I. Generation
Bulgaria,2011,female,15-24 years,11,419980,Bulgaria2011,0.775,"57,418,414,504",8137,Millenials
Jamaica,2003,male,25-34 years,1,200397,Jamaica2003,,"9,399,447,609",3852,Generation X
Russian Federation,1989,female,15-24 years,628,9650700,Russian Federation1989,,"506,500,173,960",3740,Generation X
Costa Rica,1991,female,15-24 years,10,286000,Costa Rica1991,,"7,168,999,428",2651,Generation X
Israel,1995,male,5-14 years,3,549800,Israel1995,0.817,"100,343,219,507",20159,Millenials
Lithuania,2013,female,15-24 years,17,192772,Lithuania2013,0.837,"46,417,340,375",16538,Millenials
Canada,1985,female,75+ years,34,642900,Canada1985,0.827,"364,756,499,451",15522,G.I. Generation
Brazil,2015,male,75+ years,470,2448560,Brazil2015,,"1,802,214,373,741",9431,Silent
Australia,2006,female,55-74 years,115,1798232,Australia2006,,"745,521,862,833",39014,Silent
Russian Federation,2015,male,25-34 years,4994,12407057,Russian Federation2015,,"1,368,400,705,491",9987,Millenials
Saint Lucia,1997,male,35-54 years,3,13783,Saint Lucia1997,,"676,949,594",5053,Boomers
Belize,2008,male,25-34 years,1,23453,Belize2008,,"1,368,625,150",5098,Generation X
Spain,1991,female,75+ years,172,1384500,Spain1991,,"575,598,537,070",15574,G.I. Generation
Switzerland,2010,male,5-14 years,2,410594,Switzerland2010,0.924,"583,782,977,866",78474,Generation Z
Germany,2014,male,35-54 years,2444,11949414,Germany2014,0.916,"3,890,606,893,347",50167,Generation X
Saint Lucia,2003,female,35-54 years,1,18027,Saint Lucia2003,,"823,837,141",5599,Boomers
Iceland,2008,male,25-34 years,5,25691,Iceland2008,,"17,658,408,759",59489,Generation X
Trinidad and Tobago,1992,male,75+ years,7,13700,Trinidad and Tobago1992,,"5,439,552,941",4803,G.I. Generation
Greece,2002,male,5-14 years,0,573550,Greece2002,,"153,830,947,017",14676,Millenials
Singapore,1987,male,55-74 years,42,128900,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Greece,2004,female,55-74 years,27,1293593,Greece2004,,"240,521,260,988",22804,Silent
Jamaica,2005,male,55-74 years,7,138670,Jamaica2005,0.729,"11,204,416,000",4505,Silent
Georgia,1994,male,25-34 years,13,360400,Georgia1994,,"2,513,870,587",556,Boomers
Russian Federation,1993,male,5-14 years,337,11763700,Russian Federation1993,,"435,083,713,851",3160,Millenials
Italy,1992,female,35-54 years,338,7543046,Italy1992,,"1,315,806,985,860",24297,Boomers
Trinidad and Tobago,1997,female,15-24 years,13,118000,Trinidad and Tobago1997,,"5,737,751,332",4937,Generation X
Brazil,1997,male,55-74 years,895,6842729,Brazil1997,,"883,199,625,325",5891,Silent
Germany,2012,female,55-74 years,873,10078469,Germany2012,0.915,"3,543,983,909,148",45142,Boomers
Chile,2006,male,25-34 years,287,1244997,Chile2006,,"154,788,024,806",10270,Generation X
Argentina,2007,female,25-34 years,126,3120162,Argentina2007,,"287,530,508,431",7918,Generation X
Saint Lucia,1991,female,25-34 years,0,10923,Saint Lucia1991,,"513,753,818",4194,Boomers
Colombia,2013,male,75+ years,69,470105,Colombia2013,0.718,"380,191,881,860",8731,Silent
Ecuador,2000,male,25-34 years,84,1009657,Ecuador2000,0.674,"18,327,764,882",1650,Generation X
Argentina,1985,female,35-54 years,142,3355300,Argentina1985,0.694,"88,416,668,900",3264,Silent
Finland,1992,female,55-74 years,71,505800,Finland1992,,"112,625,431,378",23857,Silent
France,1993,female,75+ years,624,2434800,France1993,,"1,322,815,612,694",24521,G.I. Generation
Guatemala,2008,male,15-24 years,132,1459853,Guatemala2008,,"39,136,893,345",3252,Millenials
Germany,1993,male,75+ years,1296,1519500,Germany1993,,"2,068,555,542,411",26937,G.I. Generation
Kuwait,2004,male,25-34 years,6,318728,Kuwait2004,,"59,440,108,585",29778,Generation X
Seychelles,2009,male,55-74 years,1,4543,Seychelles2009,,"847,397,850",10157,Silent
Austria,1998,female,15-24 years,24,472685,Austria1998,,"218,259,904,402",28972,Generation X
France,1987,male,5-14 years,33,3752400,France1987,,"934,173,305,686",17999,Generation X
Ukraine,2003,male,75+ years,531,723626,Ukraine2003,,"50,132,953,288",1097,Silent
Saint Kitts and Nevis,1991,male,15-24 years,0,4900,Saint Kitts and Nevis1991,,"209,880,963",5368,Generation X
Portugal,1992,female,5-14 years,0,659097,Portugal1992,,"107,602,689,041",11445,Millenials
Ecuador,2003,male,35-54 years,148,1365415,Ecuador2003,,"32,432,858,000",2755,Boomers
Kyrgyzstan,2015,male,55-74 years,37,241078,Kyrgyzstan2015,,"6,678,178,340",1285,Boomers
Ecuador,1996,female,15-24 years,102,1143710,Ecuador1996,,"25,226,393,197",2474,Generation X
Bahamas,2003,male,5-14 years,0,29553,Bahamas2003,,"8,870,090,000",30704,Millenials
Cuba,2000,male,15-24 years,104,751198,Cuba2000,0.685,"30,565,400,000",2940,Generation X
Chile,2009,female,35-54 years,155,2325328,Chile2009,,"172,389,498,445",11062,Boomers
